DateTime,Building P (kW) 
2020-03-27 02:43:00,257.4
2020-03-27 02:44:00,272.4
2020-03-27 02:45:00,285.4
2020-03-27 02:46:00,283.4
2020-03-27 02:47:00,261.4
2020-03-27 02:48:00,243.4
2020-03-27 02:49:00,259.4
2020-03-27 02:50:00,266.4
2020-03-27 02:51:00,260.4
2020-03-27 02:52:00,272.4
2020-03-27 02:53:00,276.4
2020-03-27 02:54:00,246.4
2020-03-27 02:55:00,238.4
2020-03-27 02:56:00,234.4
2020-03-27 02:57:00,247.4
2020-03-27 02:58:00,241.4
2020-03-27 02:59:00,234.4
2020-03-27 03:00:00,251.4
2020-03-27 03:01:00,252.4
2020-03-27 03:02:00,248.4
2020-03-27 03:03:00,246.4
2020-03-27 03:04:00,235.4
2020-03-27 03:05:00,225.4
2020-03-27 03:06:00,240.4
2020-03-27 03:07:00,251.4
2020-03-27 03:08:00,268.4
2020-03-27 03:09:00,282.4
2020-03-27 03:10:00,264.4
2020-03-27 03:11:00,254.4
2020-03-27 03:12:00,240.4
2020-03-27 03:13:00,248.4
2020-03-27 03:14:00,258.4
2020-03-27 03:15:00,252.4
2020-03-27 03:16:00,269.4
2020-03-27 03:17:00,273.4
2020-03-27 03:18:00,260.4
2020-03-27 03:19:00,273.4
2020-03-27 03:20:00,280.4
2020-03-27 03:21:00,301.4
2020-03-27 03:22:00,290.4
2020-03-27 03:23:00,263.4
2020-03-27 03:24:00,254.4
2020-03-27 03:25:00,261.4
2020-03-27 03:26:00,262.4
2020-03-27 03:27:00,265.4
2020-03-27 03:28:00,272.4
2020-03-27 03:29:00,272.2
2020-03-27 03:30:00,276.2
2020-03-27 03:31:00,271.2
2020-03-27 03:32:00,275.3
2020-03-27 03:33:00,276.4
2020-03-27 03:34:00,286.4
2020-03-27 03:35:00,278.4
2020-03-27 03:36:00,274.4
2020-03-27 03:37:00,266.4
2020-03-27 03:38:00,258.4
2020-03-27 03:39:00,259.4
2020-03-27 03:40:00,268.4
2020-03-27 03:41:00,280.4
2020-03-27 03:42:00,284.4
2020-03-27 03:43:00,285.4
2020-03-27 03:44:00,270.4
2020-03-27 03:45:00,268.4
2020-03-27 03:46:00,276.4
2020-03-27 03:47:00,297.4
2020-03-27 03:48:00,299.4
2020-03-27 03:49:00,290.4
2020-03-27 03:50:00,283.4
2020-03-27 03:51:00,268.4
2020-03-27 03:52:00,267.4
2020-03-27 03:53:00,280.4
2020-03-27 03:54:00,291.4
2020-03-27 03:55:00,302.4
2020-03-27 03:56:00,287.4
2020-03-27 03:57:00,267.4
2020-03-27 03:58:00,255.4
2020-03-27 03:59:00,254.4
2020-03-27 04:00:00,266.4
2020-03-27 04:01:00,281.4
2020-03-27 04:02:00,289.4
2020-03-27 04:03:00,303.4
2020-03-27 04:04:00,300.4
2020-03-27 04:05:00,285.4
2020-03-27 04:06:00,270.4
2020-03-27 04:07:00,263.4
2020-03-27 04:08:00,270.4
