sep=,
"Time","P","Q"
2020-01-29 13:50:00,-322,63.3
2020-01-29 13:55:00,15.8,61.2
2020-01-29 14:00:00,95.8,50.3
2020-01-29 14:05:00,169,55.1
2020-01-29 14:10:00,165,39.1
2020-01-29 14:15:00,214,55.6
2020-01-29 14:20:00,176,48.6
2020-01-29 14:25:00,217,49.1
2020-01-29 14:30:00,196,47.6
2020-01-29 14:35:00,97.2,45.7
2020-01-29 14:40:00,234,49.3
2020-01-29 14:45:00,143,48.7
2020-01-29 14:50:00,174,55.7
2020-01-29 14:55:00,109,47.8
2020-01-29 15:00:00,247,48.1
2020-01-29 15:05:00,236,49.4
2020-01-29 15:10:00,234,44.6
2020-01-29 15:15:00,292,45.3
2020-01-29 15:20:00,297,56.1
2020-01-29 15:25:00,268,57.2
2020-01-29 15:30:00,-62,67.3
2020-01-29 15:35:00,297,59.6
2020-01-29 15:40:00,247,62.6
2020-01-29 15:45:00,330,62.7
2020-01-29 15:50:00,286,67.3
2020-01-29 15:55:00,208,57.9
2020-01-29 16:00:00,224,56.1
2020-01-29 16:05:00,311,64.3
2020-01-29 16:10:00,334,64.1
2020-01-29 16:15:00,331,62.7
2020-01-29 16:20:00,229,59.5
2020-01-29 16:25:00,274,76.5
2020-01-29 16:30:00,355,68.8
2020-01-29 16:35:00,357,120
2020-01-29 16:40:00,244,48.1
2020-01-29 16:45:00,274,53.9
2020-01-29 16:50:00,321,60.4
2020-01-29 16:55:00,384,69.0
2020-01-29 17:00:00,334,68.3
2020-01-29 17:05:00,307,67.2
2020-01-29 17:10:00,395,77.0
2020-01-29 17:15:00,274,75.6
2020-01-29 17:20:00,365,71.1
2020-01-29 17:25:00,445,67.9
2020-01-29 17:30:00,373,65.6
2020-01-29 17:35:00,358,64.7
2020-01-29 17:40:00,316,72.1
2020-01-29 17:45:00,370,69.6
2020-01-29 17:50:00,338,69.2
2020-01-29 17:55:00,380,72.4
2020-01-29 18:00:00,331,64.5
2020-01-29 18:05:00,257,60.1
2020-01-29 18:10:00,324,69.4
2020-01-29 18:15:00,326,61.4
2020-01-29 18:20:00,384,64.3
2020-01-29 18:25:00,353,62.1
2020-01-29 18:30:00,362,62.6
2020-01-29 18:35:00,370,61.7
2020-01-29 18:40:00,253,61.4
2020-01-29 18:45:00,371,70.0
2020-01-29 18:50:00,349,65.1
2020-01-29 18:55:00,264,63.9
2020-01-29 19:00:00,363,57.5
2020-01-29 19:05:00,331,52.2
2020-01-29 19:10:00,291,53.3
2020-01-29 19:15:00,287,53.3
2020-01-29 19:20:00,305,59.2
2020-01-29 19:25:00,273,53.8
2020-01-29 19:30:00,291,50.9
2020-01-29 19:35:00,309,51.3
2020-01-29 19:40:00,290,52.4
2020-01-29 19:45:00,323,54.5
2020-01-29 19:50:00,306,53.7
2020-01-29 19:55:00,294,61.0
2020-01-29 20:00:00,326,55.0
2020-01-29 20:05:00,242,56.6
2020-01-29 20:10:00,281,56.3
2020-01-29 20:15:00,311,56.8
2020-01-29 20:20:00,340,55.6
2020-01-29 20:25:00,313,55.5
2020-01-29 20:30:00,290,65.5
2020-01-29 20:35:00,319,58.7
2020-01-29 20:40:00,306,56.7
2020-01-29 20:45:00,323,53.7
2020-01-29 20:50:00,263,55.7
2020-01-29 20:55:00,337,67.2
2020-01-29 21:00:00,305,66.2
2020-01-29 21:05:00,264,68.2
2020-01-29 21:10:00,296,78.2
2020-01-29 21:15:00,383,72.6
2020-01-29 21:20:00,364,71.7
2020-01-29 21:25:00,291,71.9
2020-01-29 21:30:00,309,89.0
2020-01-29 21:35:00,372,72.1
2020-01-29 21:40:00,367,91.4
2020-01-29 21:45:00,357,72.0
2020-01-29 21:50:00,354,99.1
2020-01-29 21:55:00,305,71.9
2020-01-29 22:00:00,296,71.3
2020-01-29 22:05:00,426,91.1
2020-01-29 22:10:00,247,59.5
2020-01-29 22:15:00,373,63.0
2020-01-29 22:20:00,381,62.4
2020-01-29 22:25:00,337,62.8
2020-01-29 22:30:00,309,70.5
2020-01-29 22:35:00,366,66.7
2020-01-29 22:40:00,378,69.0
2020-01-29 22:45:00,279,66.4
2020-01-29 22:50:00,382,64.8
2020-01-29 22:55:00,322,63.5
2020-01-29 23:00:00,272,65.5
2020-01-29 23:05:00,380,68.4
2020-01-29 23:10:00,331,78.3
2020-01-29 23:15:00,277,68.4
2020-01-29 23:20:00,282,66.2
2020-01-29 23:25:00,353,66.8
2020-01-29 23:30:00,264,64.9
2020-01-29 23:35:00,301,68.3
2020-01-29 23:40:00,326,69.2
2020-01-29 23:45:00,276,73.8
2020-01-29 23:50:00,370,70.4
2020-01-29 23:55:00,294,72.3
2020-01-30 00:00:00,410,73.4
2020-01-30 00:05:00,380,72.0
2020-01-30 00:10:00,376,73.3
2020-01-30 00:15:00,324,68.9
2020-01-30 00:20:00,354,77.4
2020-01-30 00:25:00,343,69.8
2020-01-30 00:30:00,317,66.5
2020-01-30 00:35:00,296,68.0
2020-01-30 00:40:00,404,67.6
2020-01-30 00:45:00,382,68.6
2020-01-30 00:50:00,299,67.0
2020-01-30 00:55:00,353,66.3
2020-01-30 01:00:00,382,67.3
2020-01-30 01:05:00,416,77.3
2020-01-30 01:10:00,313,68.4
2020-01-30 01:15:00,324,65.5
2020-01-30 01:20:00,336,64.7
2020-01-30 01:25:00,416,66.8
2020-01-30 01:30:00,301,66.7
2020-01-30 01:35:00,288,64.9
2020-01-30 01:40:00,323,50.8
2020-01-30 01:45:00,416,69.1
2020-01-30 01:50:00,361,58.0
2020-01-30 01:55:00,392,56.7
2020-01-30 02:00:00,419,60.0
2020-01-30 02:05:00,381,58.0
2020-01-30 02:10:00,414,58.7
2020-01-30 02:15:00,316,51.1
2020-01-30 02:20:00,369,51.1
2020-01-30 02:25:00,403,52.2
2020-01-30 02:30:00,368,49.8
2020-01-30 02:35:00,261,48.4
2020-01-30 02:40:00,375,49.1
2020-01-30 02:45:00,356,48.5
2020-01-30 02:50:00,344,47.4
2020-01-30 02:55:00,312,49.1
2020-01-30 03:00:00,368,58.9
2020-01-30 03:05:00,323,66.7
2020-01-30 03:10:00,346,48.4
2020-01-30 03:15:00,274,62.1
2020-01-30 03:20:00,359,64.2
2020-01-30 03:25:00,328,61.5
2020-01-30 03:30:00,339,48.4
2020-01-30 03:35:00,331,49.5
2020-01-30 03:40:00,335,54.9
2020-01-30 03:45:00,356,53.8
2020-01-30 03:50:00,384,54.9
2020-01-30 03:55:00,338,50.2
2020-01-30 04:00:00,336,49.8
2020-01-30 04:05:00,380,52.2
2020-01-30 04:10:00,349,48.0
2020-01-30 04:15:00,358,46.7
2020-01-30 04:20:00,323,57.1
2020-01-30 04:25:00,353,51.5
2020-01-30 04:30:00,269,47.3
2020-01-30 04:35:00,330,48.6
2020-01-30 04:40:00,374,48.2
2020-01-30 04:45:00,349,50.1
2020-01-30 04:50:00,289,52.9
2020-01-30 04:55:00,304,47.9
2020-01-30 05:00:00,405,53.5
2020-01-30 05:05:00,387,56.7
2020-01-30 05:10:00,439,62.1
2020-01-30 05:15:00,405,45.2
2020-01-30 05:20:00,361,47.0
2020-01-30 05:25:00,344,44.6
2020-01-30 05:30:00,454,52.7
2020-01-30 05:35:00,379,47.4
2020-01-30 05:40:00,392,47.6
2020-01-30 05:45:00,395,57.7
2020-01-30 05:50:00,395,50.8
2020-01-30 05:55:00,405,52.4
2020-01-30 06:00:00,405,51.8
2020-01-30 06:05:00,400,48.2
2020-01-30 06:10:00,400,58.9
2020-01-30 06:15:00,389,55.7
2020-01-30 06:20:00,423,54.8
2020-01-30 06:25:00,440,68.9
2020-01-30 06:30:00,466,63.0
2020-01-30 06:35:00,448,55.0
2020-01-30 06:40:00,417,53.4
2020-01-30 06:45:00,368,54.7
2020-01-30 06:50:00,358,54.6
2020-01-30 06:55:00,405,58.7
2020-01-30 07:00:00,431,59.4
2020-01-30 07:05:00,386,62.0
2020-01-30 07:10:00,392,52.5
2020-01-30 07:15:00,299,40.6
2020-01-30 07:20:00,439,56.3
2020-01-30 07:25:00,378,39.6
2020-01-30 07:30:00,394,49.6
2020-01-30 07:35:00,323,42.9
2020-01-30 07:40:00,390,46.8
2020-01-30 07:45:00,318,35.0
2020-01-30 07:50:00,401,41.2
2020-01-30 07:55:00,381,47.4
2020-01-30 08:00:00,386,47.8
2020-01-30 08:05:00,370,50.0
2020-01-30 08:10:00,310,52.6
2020-01-30 08:15:00,283,44.1
2020-01-30 08:20:00,399,89.3
2020-01-30 08:25:00,393,64.3
2020-01-30 08:30:00,365,65.0
2020-01-30 08:35:00,303,71.8
2020-01-30 08:40:00,-57,73.4
2020-01-30 08:45:00,242,81.5
2020-01-30 08:50:00,286,88.3
2020-01-30 08:55:00,306,50.1
2020-01-30 09:00:00,164,87.4
2020-01-30 09:05:00,238,89.3
2020-01-30 09:10:00,75.8,96.0
2020-01-30 09:15:00,127,93.8
2020-01-30 09:20:00,206,91.1
2020-01-30 09:25:00,-66,120
2020-01-30 09:30:00,-107,64.7
2020-01-30 09:35:00,-227,51.1
2020-01-30 09:40:00,-203,55.5
2020-01-30 09:45:00,109,43.4
2020-01-30 09:50:00,-108,80.2
2020-01-30 09:55:00,24.1,56.1
2020-01-30 10:00:00,36.4,-495
2020-01-30 10:05:00,-190,55.3
2020-01-30 10:10:00,124,636
2020-01-30 10:15:00,259,759
2020-01-30 10:20:00,279,749
2020-01-30 10:25:00,611,756
2020-01-30 10:30:00,267,746
2020-01-30 10:35:00,265,751
2020-01-30 10:40:00,270,761
2020-01-30 10:45:00,244,758
2020-01-30 10:50:00,248,751
2020-01-30 10:55:00,231,740
2020-01-30 11:00:00,138,734
