MST,Avg Wind Speed @ 50m [m/s]
2016-12-24 03:06:00,0.66
2016-12-24 03:07:00,0.34
2016-12-24 03:08:00,0.34
2016-12-24 03:09:00,0.34
2016-12-24 03:10:00,0.6
2016-12-24 03:11:00,0.8
2016-12-24 03:12:00,0.77
2016-12-24 03:13:00,0.64
2016-12-24 03:14:00,0.4
2016-12-24 03:15:00,0.96
2016-12-24 03:16:00,1.32
2016-12-24 03:17:00,1.85
2016-12-24 03:18:00,2.06
2016-12-24 03:19:00,2.21
2016-12-24 03:20:00,1.64
2016-12-24 03:21:00,1.39
2016-12-24 03:22:00,1.07
2016-12-24 03:23:00,1.36
2016-12-24 03:24:00,1.95
2016-12-24 03:25:00,2.08
2016-12-24 03:26:00,1.01
2016-12-24 03:27:00,0.57
2016-12-24 03:28:00,0.53
2016-12-24 03:29:00,1.02
2016-12-24 03:30:00,1.16
2016-12-24 03:31:00,1.68
2016-12-24 03:32:00,1.88
2016-12-24 03:33:00,1.56
2016-12-24 03:34:00,0.83
2016-12-24 03:35:00,1.09
2016-12-24 03:36:00,1.54
2016-12-24 03:37:00,1.84
2016-12-24 03:38:00,2.18
2016-12-24 03:39:00,2.19
2016-12-24 03:40:00,2.28
2016-12-24 03:41:00,2.25
2016-12-24 03:42:00,2.04
2016-12-24 03:43:00,2.21
2016-12-24 03:44:00,2.34
2016-12-24 03:45:00,2.64
2016-12-24 03:46:00,2.96
2016-12-24 03:47:00,2.95
2016-12-24 03:48:00,2.68
2016-12-24 03:49:00,2.66
2016-12-24 03:50:00,2.74
2016-12-24 03:51:00,2.84
2016-12-24 03:52:00,3.1
2016-12-24 03:53:00,3.07
2016-12-24 03:54:00,2.74
2016-12-24 03:55:00,2.56
2016-12-24 03:56:00,2.59
2016-12-24 03:57:00,2.78
2016-12-24 03:58:00,2.79
2016-12-24 03:59:00,2.7
2016-12-24 04:00:00,2.82
2016-12-24 04:01:00,3.22
2016-12-24 04:02:00,3.61
2016-12-24 04:03:00,3.92
2016-12-24 04:04:00,3.85
2016-12-24 04:05:00,4.18
2016-12-24 04:06:00,4.55
2016-12-24 04:07:00,5.25
2016-12-24 04:08:00,5.54
2016-12-24 04:09:00,5.22
2016-12-24 04:10:00,4.85
2016-12-24 04:11:00,4.68
2016-12-24 04:12:00,4.66
2016-12-24 04:13:00,4.38
2016-12-24 04:14:00,4.49
2016-12-24 04:15:00,4.91
2016-12-24 04:16:00,5.22
2016-12-24 04:17:00,5.54
2016-12-24 04:18:00,5.6
2016-12-24 04:19:00,5.59
2016-12-24 04:20:00,5.54
2016-12-24 04:21:00,5.54
2016-12-24 04:22:00,5.38
2016-12-24 04:23:00,5.46
2016-12-24 04:24:00,5.52
2016-12-24 04:25:00,5.79
2016-12-24 04:26:00,5.95
2016-12-24 04:27:00,6.13
2016-12-24 04:28:00,6.09
2016-12-24 04:29:00,5.76
2016-12-24 04:30:00,5.78
2016-12-24 04:31:00,5.53
2016-12-24 04:32:00,5.45
2016-12-24 04:33:00,5.65
2016-12-24 04:34:00,5.8
2016-12-24 04:35:00,6.08
2016-12-24 04:36:00,6.12
2016-12-24 04:37:00,6.27
2016-12-24 04:38:00,6.53
2016-12-24 04:39:00,6.73
2016-12-24 04:40:00,6.29
2016-12-24 04:41:00,5.83
2016-12-24 04:42:00,6.02
2016-12-24 04:43:00,6.43
2016-12-24 04:44:00,6.33
2016-12-24 04:45:00,6.1
2016-12-24 04:46:00,6.14
2016-12-24 04:47:00,5.59
2016-12-24 04:48:00,4.92
2016-12-24 04:49:00,5.43
2016-12-24 04:50:00,5.58
2016-12-24 04:51:00,5.32
2016-12-24 04:52:00,5.1
2016-12-24 04:53:00,5.06
2016-12-24 04:54:00,5.16
2016-12-24 04:55:00,5.45
2016-12-24 04:56:00,6.1
2016-12-24 04:57:00,6.26
2016-12-24 04:58:00,5.72
2016-12-24 04:59:00,5.53
2016-12-24 05:00:00,5.8
2016-12-24 05:01:00,6.05
2016-12-24 05:02:00,6.09
2016-12-24 05:03:00,5.29
2016-12-24 05:04:00,4.52
2016-12-24 05:05:00,4.36
2016-12-24 05:06:00,4.4
2016-12-24 05:07:00,4.57
2016-12-24 05:08:00,4.28
2016-12-24 05:09:00,3.56
2016-12-24 05:10:00,2.7
2016-12-24 05:11:00,2.18
2016-12-24 05:12:00,1.97
2016-12-24 05:13:00,2.27
2016-12-24 05:14:00,2.4
2016-12-24 05:15:00,1.75
2016-12-24 05:16:00,1.51
2016-12-24 05:17:00,1.6
2016-12-24 05:18:00,1.89
2016-12-24 05:19:00,2.11
2016-12-24 05:20:00,1.03
2016-12-24 05:21:00,1.72
2016-12-24 05:22:00,1.79
2016-12-24 05:23:00,1.89
2016-12-24 05:24:00,1.53
2016-12-24 05:25:00,1.8
2016-12-24 05:26:00,2.59
2016-12-24 05:27:00,2.7
2016-12-24 05:28:00,2.39
2016-12-24 05:29:00,2.11
2016-12-24 05:30:00,0.93
2016-12-24 05:31:00,0.88
2016-12-24 05:32:00,1.35
2016-12-24 05:33:00,2.26
2016-12-24 05:34:00,3.31
2016-12-24 05:35:00,2.91
2016-12-24 05:36:00,3.3
2016-12-24 05:37:00,2.38
2016-12-24 05:38:00,0.74
2016-12-24 05:39:00,1.38
2016-12-24 05:40:00,1.49
2016-12-24 05:41:00,1.82
2016-12-24 05:42:00,1.98
2016-12-24 05:43:00,1.86
2016-12-24 05:44:00,1.22
2016-12-24 05:45:00,1.51
2016-12-24 05:46:00,2.06
2016-12-24 05:47:00,1.52
2016-12-24 05:48:00,1.24
2016-12-24 05:49:00,0.87
2016-12-24 05:50:00,0.79
2016-12-24 05:51:00,0.34
2016-12-24 05:52:00,0.6
2016-12-24 05:53:00,0.95
2016-12-24 05:54:00,1.32
2016-12-24 05:55:00,0.66
2016-12-24 05:56:00,1.06
2016-12-24 05:57:00,1.07
2016-12-24 05:58:00,0.73
2016-12-24 05:59:00,0.99
2016-12-24 06:00:00,0.5
2016-12-24 06:01:00,0.34
2016-12-24 06:02:00,0.58
2016-12-24 06:03:00,0.66
2016-12-24 06:04:00,1.35
2016-12-24 06:05:00,2.39
2016-12-24 06:06:00,3.05
2016-12-24 06:07:00,2.75
2016-12-24 06:08:00,2.23
2016-12-24 06:09:00,2.89
2016-12-24 06:10:00,3.14
2016-12-24 06:11:00,3.2
2016-12-24 06:12:00,2.8
2016-12-24 06:13:00,2.64
2016-12-24 06:14:00,2.77
2016-12-24 06:15:00,2.54
2016-12-24 06:16:00,2.62
2016-12-24 06:17:00,2.74
2016-12-24 06:18:00,2.66
2016-12-24 06:19:00,2.93
2016-12-24 06:20:00,2.98
2016-12-24 06:21:00,2.68
2016-12-24 06:22:00,2.38
2016-12-24 06:23:00,2.4
2016-12-24 06:24:00,2.63
2016-12-24 06:25:00,2.54
2016-12-24 06:26:00,2.47
2016-12-24 06:27:00,2.49
2016-12-24 06:28:00,2.55
2016-12-24 06:29:00,2.97
2016-12-24 06:30:00,3.1
2016-12-24 06:31:00,2.97
2016-12-24 06:32:00,2.62
2016-12-24 06:33:00,2.41
2016-12-24 06:34:00,2.62
2016-12-24 06:35:00,2.8
2016-12-24 06:36:00,2.72
2016-12-24 06:37:00,2.56
2016-12-24 06:38:00,2.53
2016-12-24 06:39:00,2.76
2016-12-24 06:40:00,2.66
2016-12-24 06:41:00,2.52
2016-12-24 06:42:00,2.69
2016-12-24 06:43:00,2.6
2016-12-24 06:44:00,2.49
2016-12-24 06:45:00,2.43
2016-12-24 06:46:00,2.45
2016-12-24 06:47:00,2.88
2016-12-24 06:48:00,3.22
2016-12-24 06:49:00,3.48
2016-12-24 06:50:00,3.65
2016-12-24 06:51:00,3.86
2016-12-24 06:52:00,4.48
2016-12-24 06:53:00,4.14
2016-12-24 06:54:00,3.9
2016-12-24 06:55:00,3.25
2016-12-24 06:56:00,3.01
2016-12-24 06:57:00,3.52
2016-12-24 06:58:00,3.76
2016-12-24 06:59:00,3.29
2016-12-24 07:00:00,3.01
2016-12-24 07:01:00,2.88
2016-12-24 07:02:00,3.05
2016-12-24 07:03:00,3.13
2016-12-24 07:04:00,3.22
2016-12-24 07:05:00,3.27
2016-12-24 07:06:00,3.12
2016-12-24 07:07:00,3.35
2016-12-24 07:08:00,3.37
2016-12-24 07:09:00,3.12
2016-12-24 07:10:00,2.73
2016-12-24 07:11:00,2.47
2016-12-24 07:12:00,2.14
2016-12-24 07:13:00,1.23
2016-12-24 07:14:00,1.12
2016-12-24 07:15:00,1.37
2016-12-24 07:16:00,1.12
2016-12-24 07:17:00,1.7
2016-12-24 07:18:00,1.83
2016-12-24 07:19:00,1.72
2016-12-24 07:20:00,1.82
2016-12-24 07:21:00,1.7
2016-12-24 07:22:00,1.58
2016-12-24 07:23:00,2.63
2016-12-24 07:24:00,3.59
2016-12-24 07:25:00,2.8
2016-12-24 07:26:00,2.68
2016-12-24 07:27:00,2.51
2016-12-24 07:28:00,2.67
2016-12-24 07:29:00,2.84
2016-12-24 07:30:00,2.9
2016-12-24 07:31:00,2.62
2016-12-24 07:32:00,2.21
2016-12-24 07:33:00,2.08
2016-12-24 07:34:00,2.48
2016-12-24 07:35:00,2.68
2016-12-24 07:36:00,3.05
2016-12-24 07:37:00,3.15
2016-12-24 07:38:00,3.21
2016-12-24 07:39:00,3.12
2016-12-24 07:40:00,3.29
2016-12-24 07:41:00,3.44
2016-12-24 07:42:00,3.72
2016-12-24 07:43:00,3.6
2016-12-24 07:44:00,3.46
2016-12-24 07:45:00,3.5
2016-12-24 07:46:00,3.71
2016-12-24 07:47:00,3.97
2016-12-24 07:48:00,4.31
2016-12-24 07:49:00,4.63
2016-12-24 07:50:00,4.63
2016-12-24 07:51:00,4.6
2016-12-24 07:52:00,4.36
2016-12-24 07:53:00,4.27
2016-12-24 07:54:00,4.34
2016-12-24 07:55:00,3.92
2016-12-24 07:56:00,3.73
2016-12-24 07:57:00,3.79
2016-12-24 07:58:00,4.05
2016-12-24 07:59:00,4.1
2016-12-24 08:00:00,4.19
2016-12-24 08:01:00,4.11
2016-12-24 08:02:00,3.99
2016-12-24 08:03:00,4.03
2016-12-24 08:04:00,4.02
2016-12-24 08:05:00,3.8
2016-12-24 08:06:00,3.91
2016-12-24 08:07:00,3.66
2016-12-24 08:08:00,3.98
2016-12-24 08:09:00,4.07
2016-12-24 08:10:00,4.13
2016-12-24 08:11:00,4.06
2016-12-24 08:12:00,4.11
2016-12-24 08:13:00,3.98
2016-12-24 08:14:00,3.74
2016-12-24 08:15:00,3.6
2016-12-24 08:16:00,3.43
2016-12-24 08:17:00,3.22
2016-12-24 08:18:00,3.12
2016-12-24 08:19:00,2.74
2016-12-24 08:20:00,2.49
2016-12-24 08:21:00,2.5
2016-12-24 08:22:00,2.3
2016-12-24 08:23:00,2.36
